postcode,avg_download_speed,max_download_speed,town,county
CA12 5RN,34.3,77.1,Allerdale,Cumberland
CA12 5RP,7.4,15.1,Allerdale,Cumberland
CA12 5RQ,38.2,79.9,Allerdale,Cumberland
CA12 5RS,27,52.5,Allerdale,Cumberland
CA12 5RT,10.8,31.4,Allerdale,Cumberland
CA12 5RW,29.4,72.5,Allerdale,Cumberland
CA12 5RY,24.4,59.3,Allerdale,Cumberland
CA12 5RZ,10.3,21.7,Allerdale,Cumberland
CA12 5SA,40.4,80,Allerdale,Cumberland
CA12 5SE,18.2,48.3,Allerdale,Cumberland
CA12 5SF,47.2,79.9,Allerdale,Cumberland
CA12 5SG,47.4,80,Allerdale,Cumberland
CA12 5SL,3,7.6,Allerdale,Cumberland
CA12 5SQ,11.4,33.4,Allerdale,Cumberland
CA12 5ST,31.9,55,Allerdale,Cumberland
CA12 5SX,36.8,79.9,Allerdale,Cumberland
CA12 5SY,35.9,80,Allerdale,Cumberland
CA12 5SZ,32.2,68.7,Allerdale,Cumberland
CA12 5TB,47.6,80,Allerdale,Cumberland
CA12 5TD,27.1,65.1,Allerdale,Cumberland
CA12 5TE,43.1,79.9,Allerdale,Cumberland
CA12 5TF,33.2,79.9,Allerdale,Cumberland
CA12 5TH,59,80,Allerdale,Cumberland
CA12 5TL,25.1,38.2,Allerdale,Cumberland
CA12 5TN,30.1,47.8,Allerdale,Cumberland
CA12 5TQ,49.4,80,Allerdale,Cumberland
CA12 5TR,19.9,37.9,Allerdale,Cumberland
CA12 5TS,6.8,46.1,Allerdale,Cumberland
CA12 5TU,1.7,4.5,Allerdale,Cumberland
CA12 5TW,11.4,59.9,Allerdale,Cumberland
CA12 5TX,36.4,69.5,Allerdale,Cumberland
CA12 5TY,35,59.2,Allerdale,Cumberland
CA12 5TZ,14,18.7,Allerdale,Cumberland
CA12 5UE,12.1,76.4,Allerdale,Cumberland
CA12 5UF,5.5,7.1,Allerdale,Cumberland
CA12 5UG,13.7,24.7,Allerdale,Cumberland
CA12 5UP,18.8,52.6,Allerdale,Cumberland
CA12 5UQ,38.3,80,Allerdale,Cumberland
CA12 5UW,1.6,1.6,Allerdale,Cumberland
CA12 5UY,21.2,41.6,Allerdale,Cumberland
CA12 5XB,38.2,80,Allerdale,Cumberland
CA12 5XD,41.3,78.3,Allerdale,Cumberland
CA12 5XE,28.7,52.6,Allerdale,Cumberland
CA12 5XG,18.2,65.1,Allerdale,Cumberland
CA12 5XH,9.1,13.1,Allerdale,Cumberland
CA12 5XL,52.7,79.9,Allerdale,Cumberland
CA12 5XN,3.6,8.3,Allerdale,Cumberland
CA12 5XP,3.5,9.8,Allerdale,Cumberland
CA1 2AA,45.9,106.3,Carlisle,Cumberland
CA1 2AB,31.1,80,Carlisle,Cumberland
CA1 2AD,39.9,106.3,Carlisle,Cumberland
CA1 2AF,49,200,Carlisle,Cumberland
CA1 2AG,50.1,106.3,Carlisle,Cumberland
CA1 2AH,67.1,200,Carlisle,Cumberland
CA1 2AJ,54.1,200,Carlisle,Cumberland
