county,town,year,month_num,crime_type,crime_count,population,crime_rate_per_10k
Cheshire,Halton,2024,11,Vehicle crime,33,1000000,0.33
Cheshire,Halton,2024,12,Drugs,51,1000000,0.51
Cheshire,Halton,2024,12,Robbery,7,1000000,0.06999999999999999
Cheshire,Halton,2024,12,Vehicle crime,40,1000000,0.4
Cheshire,Halton,2025,1,Drugs,39,1000000,0.39
Cheshire,Halton,2025,1,Robbery,7,1000000,0.06999999999999999
Cheshire,Halton,2025,1,Vehicle crime,23,1000000,0.23
Cheshire,Halton,2025,2,Drugs,51,1000000,0.51
Cheshire,Halton,2025,2,Robbery,10,1000000,0.1
Cheshire,Halton,2025,2,Vehicle crime,26,1000000,0.26
Cheshire,Halton,2025,3,Drugs,57,1000000,0.5700000000000001
Cheshire,Halton,2025,3,Robbery,6,1000000,0.060000000000000005
Cheshire,Halton,2025,3,Vehicle crime,22,1000000,0.22
Cheshire,Halton,2025,4,Drugs,52,1000000,0.52
Cheshire,Halton,2025,4,Robbery,8,1000000,0.08
Cheshire,Halton,2025,4,Vehicle crime,20,1000000,0.2
Cheshire,Halton,2025,5,Drugs,45,1000000,0.45
Cheshire,Halton,2025,5,Robbery,12,1000000,0.12000000000000001
Cheshire,Halton,2025,5,Vehicle crime,34,1000000,0.34
Cheshire,Halton,2025,6,Drugs,62,1000000,0.62
Cheshire,Halton,2025,6,Robbery,10,1000000,0.1
Cheshire,Halton,2025,6,Vehicle crime,33,1000000,0.33
Cheshire,Halton,2025,7,Drugs,39,1000000,0.39
Cheshire,Halton,2025,7,Robbery,10,1000000,0.1
Cheshire,Halton,2025,7,Vehicle crime,21,1000000,0.21
Cheshire,Halton,2025,8,Drugs,64,1000000,0.64
Cheshire,Halton,2025,8,Robbery,9,1000000,0.09
Cheshire,Halton,2025,8,Vehicle crime,37,1000000,0.37
Cheshire,Halton,2025,9,Drugs,54,1000000,0.5399999999999999
Cheshire,Halton,2025,9,Robbery,7,1000000,0.06999999999999999
Cheshire,Halton,2025,9,Vehicle crime,29,1000000,0.29
Cheshire,Halton,2025,10,Drugs,48,1000000,0.48000000000000004
Cheshire,Halton,2025,10,Robbery,7,1000000,0.06999999999999999
Cheshire,Halton,2025,10,Vehicle crime,39,1000000,0.39
Cheshire,Halton,2025,11,Drugs,43,1000000,0.43
Cheshire,Halton,2025,11,Robbery,4,1000000,0.04
Cheshire,Halton,2025,11,Vehicle crime,33,1000000,0.33
Cheshire,High Peak,2023,3,Vehicle crime,1,1000000,0.01
Cheshire,High Peak,2025,2,Drugs,1,1000000,0.01
Cheshire,High Peak,2025,3,Drugs,1,1000000,0.01
Cheshire,High Peak,2025,9,Robbery,1,1000000,0.01
Cheshire,High Peak,2025,11,Drugs,1,1000000,0.01
Cheshire,Knowsley,2023,2,Robbery,1,1000000,0.01
Cheshire,Knowsley,2023,4,Drugs,1,1000000,0.01
Cheshire,Knowsley,2023,10,Drugs,1,1000000,0.01
Cheshire,Knowsley,2023,12,Drugs,1,1000000,0.01
Cheshire,Knowsley,2024,3,Robbery,1,1000000,0.01
Cheshire,Knowsley,2024,5,Robbery,1,1000000,0.01
Cheshire,Knowsley,2024,9,Drugs,1,1000000,0.01
Cheshire,Knowsley,2024,10,Drugs,1,1000000,0.01
Cheshire,Knowsley,2024,12,Drugs,1,1000000,0.01
Cheshire,Knowsley,2025,1,Drugs,1,1000000,0.01
Cheshire,Knowsley,2025,2,Drugs,1,1000000,0.01
Cheshire,Knowsley,2025,8,Drugs,2,1000000,0.02
Cheshire,Knowsley,2025,11,Drugs,1,1000000,0.01
Cheshire,Manchester,2023,3,Vehicle crime,1,1000000,0.01
Cheshire,Manchester,2023,8,Vehicle crime,1,1000000,0.01
Cheshire,Manchester,2024,2,Drugs,2,1000000,0.02
Cheshire,Manchester,2024,2,Vehicle crime,1,1000000,0.01
Cheshire,Manchester,2024,5,Vehicle crime,1,1000000,0.01
Cheshire,Salford,2023,4,Drugs,1,1000000,0.01
Cheshire,Salford,2023,11,Drugs,1,1000000,0.01
Cheshire,Salford,2024,2,Drugs,2,1000000,0.02
Cheshire,Salford,2025,3,Robbery,1,1000000,0.01
Cheshire,Salford,2025,9,Drugs,1,1000000,0.01
Cheshire,Salford,2025,10,Drugs,1,1000000,0.01
Cheshire,Shropshire,2023,10,Drugs,1,1000000,0.01
Cheshire,St. Helens,2023,1,Vehicle crime,1,1000000,0.01
Cheshire,St. Helens,2023,4,Drugs,2,1000000,0.02
Cheshire,St. Helens,2023,10,Drugs,1,1000000,0.01
Cheshire,St. Helens,2025,2,Vehicle crime,1,1000000,0.01
Cheshire,Stockport,2024,3,Drugs,1,1000000,0.01
Cheshire,Stockport,2025,3,Drugs,1,1000000,0.01
Cheshire,Trafford,2023,2,Drugs,1,1000000,0.01
Cheshire,Trafford,2023,5,Drugs,1,1000000,0.01
Cheshire,Trafford,2023,9,Drugs,1,1000000,0.01
Cheshire,Trafford,2023,11,Drugs,1,1000000,0.01
Cheshire,Trafford,2024,11,Vehicle crime,1,1000000,0.01
Cheshire,Trafford,2025,2,Drugs,1,1000000,0.01
Cheshire,Trafford,2025,10,Drugs,1,1000000,0.01
Cheshire,Warrington,2022,12,Drugs,50,1000000,0.5
Cheshire,Warrington,2022,12,Robbery,5,1000000,0.05
Cheshire,Warrington,2022,12,Vehicle crime,29,1000000,0.29
Cheshire,Warrington,2023,1,Drugs,53,1000000,0.53
Cheshire,Warrington,2023,1,Robbery,8,1000000,0.08
Cheshire,Warrington,2023,1,Vehicle crime,57,1000000,0.5700000000000001
Cheshire,Warrington,2023,2,Drugs,55,1000000,0.55
Cheshire,Warrington,2023,2,Robbery,7,1000000,0.06999999999999999
Cheshire,Warrington,2023,2,Vehicle crime,66,1000000,0.66
Cheshire,Warrington,2023,3,Drugs,60,1000000,0.6
Cheshire,Warrington,2023,3,Robbery,7,1000000,0.06999999999999999
Cheshire,Warrington,2023,3,Vehicle crime,67,1000000,0.67
Cheshire,Warrington,2023,4,Drugs,72,1000000,0.72
Cheshire,Warrington,2023,4,Robbery,6,1000000,0.060000000000000005
Cheshire,Warrington,2023,4,Vehicle crime,55,1000000,0.55
Cheshire,Warrington,2023,5,Drugs,56,1000000,0.5599999999999999
Cheshire,Warrington,2023,5,Robbery,7,1000000,0.06999999999999999
Cheshire,Warrington,2023,5,Vehicle crime,82,1000000,0.8200000000000001
Cheshire,Warrington,2023,6,Drugs,62,1000000,0.62
Cheshire,Warrington,2023,6,Robbery,8,1000000,0.08
Cheshire,Warrington,2023,6,Vehicle crime,69,1000000,0.69
Cheshire,Warrington,2023,7,Drugs,53,1000000,0.53
Cheshire,Warrington,2023,7,Robbery,9,1000000,0.09
Cheshire,Warrington,2023,7,Vehicle crime,37,1000000,0.37
Cheshire,Warrington,2023,8,Drugs,155,1000000,1.55
Cheshire,Warrington,2023,8,Robbery,5,1000000,0.05
Cheshire,Warrington,2023,8,Vehicle crime,87,1000000,0.87
Cheshire,Warrington,2023,9,Drugs,60,1000000,0.6
